# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.480000e-05
# lRef        : 1.000000e+00
# Aref        : 7.850000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
75            	2.900305e+02	1.450152e+02	1.450153e+02	8.953754e-02	4.481922e-02	4.471832e-02	5.044858e-05	-5.363759e-05	1.981506e-05	2.414236e-02	1.209100e-02	1.205137e-02
150           	2.115173e+02	1.057586e+02	1.057587e+02	-2.482649e-02	-1.242155e-02	-1.240493e-02	-8.310379e-06	-3.151129e-05	8.194491e-05	-2.148287e-02	-1.065949e-02	-1.082338e-02
225           	1.707126e+02	8.535631e+01	8.535631e+01	-1.702844e-02	-8.494632e-03	-8.533807e-03	1.958760e-05	-6.255981e-07	1.200063e-04	-1.484359e-02	-7.301787e-03	-7.541800e-03
300           	1.461273e+02	7.306366e+01	7.306360e+01	-1.453474e-02	-7.185708e-03	-7.349034e-03	8.166333e-05	3.057328e-05	1.645460e-04	-1.218299e-02	-5.926947e-03	-6.256039e-03
375           	1.302762e+02	6.513815e+01	6.513801e+01	-9.088791e-03	-4.379745e-03	-4.709046e-03	1.646508e-04	6.978452e-05	2.084746e-04	-7.062022e-03	-3.322536e-03	-3.739485e-03
450           	1.193075e+02	5.965383e+01	5.965363e+01	-6.573326e-03	-3.029486e-03	-3.543840e-03	2.571771e-04	1.011348e-04	2.464007e-04	-5.139768e-03	-2.323483e-03	-2.816285e-03
525           	1.112728e+02	5.563652e+01	5.563625e+01	-6.534059e-03	-2.912449e-03	-3.621610e-03	3.545806e-04	1.337446e-04	2.820367e-04	-5.392199e-03	-2.414063e-03	-2.978136e-03
600           	1.050941e+02	5.254723e+01	5.254691e+01	-6.132932e-03	-2.610851e-03	-3.522082e-03	4.556154e-04	1.634184e-04	3.121815e-04	-5.386421e-03	-2.381029e-03	-3.005392e-03
675           	1.001655e+02	5.008295e+01	5.008257e+01	-5.500262e-03	-2.191164e-03	-3.309097e-03	5.589665e-04	1.895786e-04	3.345779e-04	-4.835442e-03	-2.083143e-03	-2.752299e-03
750           	9.612674e+01	4.806358e+01	4.806316e+01	-5.442776e-03	-2.071880e-03	-3.370896e-03	6.495080e-04	2.123670e-04	3.606307e-04	-3.624954e-03	-1.451846e-03	-2.173108e-03
825           	9.272289e+01	4.636168e+01	4.636121e+01	-4.539686e-03	-1.524474e-03	-3.015212e-03	7.453692e-04	2.313986e-04	3.748310e-04	-2.731279e-03	-9.908083e-04	-1.740470e-03
900           	8.979882e+01	4.489966e+01	4.489916e+01	-2.733174e-03	-5.260660e-04	-2.207108e-03	8.405208e-04	2.483754e-04	3.827954e-04	-2.097688e-03	-6.660485e-04	-1.431639e-03
975           	8.725599e+01	4.362826e+01	4.362773e+01	-2.689849e-03	-4.096279e-04	-2.280221e-03	9.352968e-04	2.617102e-04	3.840038e-04	-1.611908e-03	-4.219502e-04	-1.189958e-03
1050          	8.501476e+01	4.250765e+01	4.250711e+01	-2.249810e-03	-9.694052e-05	-2.152869e-03	1.027964e-03	2.731348e-04	3.801806e-04	-1.602773e-03	-4.212057e-04	-1.181567e-03
