# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
75             3.224105e-08 2.683770e-12 9.953382e-12 9.019904e-09 4.286682e-12 1.194097e-11 2.322114e-08 -1.602912e-12 -1.987585e-12
150            2.351318e-08 -2.388129e-12 -2.759820e-12 7.030721e-09 -1.304821e-12 -1.576473e-12 1.648246e-08 -1.083308e-12 -1.183347e-12
225            1.897716e-08 -1.650078e-12 -1.892955e-12 5.898600e-09 -7.726608e-13 -9.262671e-13 1.307856e-08 -8.774169e-13 -9.666882e-13
300            1.624414e-08 -1.354314e-12 -1.615745e-12 5.102802e-09 -6.299629e-13 -8.213764e-13 1.114134e-08 -7.243507e-13 -7.943687e-13
375            1.448206e-08 -7.850450e-13 -1.010350e-12 4.564642e-09 -2.071516e-13 -3.819886e-13 9.917422e-09 -5.778934e-13 -6.283610e-13
450            1.326274e-08 -5.713589e-13 -7.307195e-13 4.186586e-09 -1.094100e-13 -2.525580e-13 9.076150e-09 -4.619489e-13 -4.781615e-13
525            1.236956e-08 -5.994203e-13 -7.263544e-13 3.910192e-09 -2.061889e-13 -3.541541e-13 8.459373e-09 -3.932314e-13 -3.722003e-13
600            1.168272e-08 -5.987780e-13 -6.817634e-13 3.698179e-09 -2.602427e-13 -3.982740e-13 7.984542e-09 -3.385353e-13 -2.834895e-13
675            1.113484e-08 -5.375287e-13 -6.114330e-13 3.529605e-09 -2.487970e-13 -4.078670e-13 7.605231e-09 -2.887318e-13 -2.035660e-13
750            1.068587e-08 -4.029657e-13 -6.050426e-13 3.391342e-09 -1.641446e-13 -4.669141e-13 7.294525e-09 -2.388210e-13 -1.381285e-13
825            1.030748e-08 -3.036208e-13 -5.046513e-13 3.274498e-09 -1.082728e-13 -4.308876e-13 7.032981e-09 -1.953480e-13 -7.376370e-14
900            9.982427e-09 -2.331881e-13 -3.038315e-13 3.173520e-09 -7.520066e-14 -3.026659e-13 6.808906e-09 -1.579874e-13 -1.165573e-15
975            9.699755e-09 -1.791867e-13 -2.990153e-13 3.085576e-09 -5.368486e-14 -3.554257e-13 6.614179e-09 -1.255018e-13 5.641035e-14
1050           9.450610e-09 -1.781712e-13 -2.500987e-13 3.007741e-09 -7.558648e-14 -3.574064e-13 6.442870e-09 -1.025847e-13 1.073077e-13
