# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
75             -5.962587e-15 5.608083e-15 2.202728e-15 -1.196695e-16 2.439382e-15 -1.597794e-15 -5.842918e-15 3.168701e-15 3.800523e-15
150            -3.502932e-15 -9.238179e-16 9.109353e-15 -1.630191e-16 -1.498092e-16 -3.002816e-16 -3.339913e-15 -7.740087e-16 9.409634e-15
225            -6.954421e-17 2.177442e-15 1.334043e-14 -8.676084e-17 -3.325090e-16 -3.661788e-16 1.721663e-17 2.509951e-15 1.370660e-14
300            3.398658e-15 9.078051e-15 1.829165e-14 -1.760665e-16 -3.762351e-16 -1.944606e-16 3.574725e-15 9.454286e-15 1.848611e-14
375            7.757551e-15 1.830330e-14 2.317494e-14 1.589808e-16 -2.878726e-16 -2.113532e-17 7.598570e-15 1.859117e-14 2.319608e-14
450            1.124258e-14 2.858892e-14 2.739098e-14 -5.782316e-18 -2.039163e-16 -1.181091e-16 1.124836e-14 2.879284e-14 2.750909e-14
525            1.486764e-14 3.941672e-14 3.135243e-14 -1.120296e-17 -2.030478e-16 -1.209677e-16 1.487884e-14 3.961976e-14 3.147340e-14
600            1.816630e-14 5.064819e-14 3.470346e-14 -1.188907e-17 -2.053856e-16 -9.412567e-17 1.817819e-14 5.085357e-14 3.479758e-14
675            2.107439e-14 6.213714e-14 3.719314e-14 2.003054e-18 -1.688309e-16 -1.133874e-16 2.107238e-14 6.230598e-14 3.730652e-14
750            2.360764e-14 7.220213e-14 4.008928e-14 2.564204e-17 -1.790004e-16 -5.690410e-17 2.358200e-14 7.238114e-14 4.014618e-14
825            2.572327e-14 8.285849e-14 4.166784e-14 1.282046e-17 -1.197927e-16 -1.036606e-16 2.571045e-14 8.297828e-14 4.177150e-14
900            2.761049e-14 9.343595e-14 4.255320e-14 6.356747e-17 -1.394852e-16 -6.698350e-17 2.754692e-14 9.357543e-14 4.262018e-14
975            2.909285e-14 1.039717e-13 4.268753e-14 5.271672e-17 -1.248856e-16 -5.614790e-17 2.904013e-14 1.040965e-13 4.274368e-14
1050           3.036286e-14 1.142730e-13 4.226253e-14 5.243936e-17 -1.107658e-16 -3.430008e-17 3.031042e-14 1.143838e-13 4.229683e-14
