# y+ ()         
# Time          	patch           	min             	max             	average         
75              	wall1	3.08332638e-01	3.76492659e-01	3.52358081e-01
75              	sphere1	5.03999354e-02	1.46008651e-01	1.26134106e-01
150             	wall1	3.00528178e-01	3.69684333e-01	3.46914088e-01
150             	sphere1	4.15861299e-02	1.24296511e-01	1.06802140e-01
225             	wall1	2.93014164e-01	3.63524782e-01	3.41652446e-01
225             	sphere1	3.69006274e-02	1.11064181e-01	9.51908187e-02
300             	wall1	2.82997385e-01	3.58361569e-01	3.36568328e-01
300             	sphere1	3.40461083e-02	1.02562268e-01	8.78040691e-02
375             	wall1	2.73488376e-01	3.54106125e-01	3.31654629e-01
375             	sphere1	3.21173152e-02	9.67505819e-02	8.27879764e-02
450             	wall1	2.64460751e-01	3.51910946e-01	3.26904721e-01
450             	sphere1	3.07051466e-02	9.25327366e-02	7.91640733e-02
525             	wall1	2.55889528e-01	3.49876730e-01	3.22312324e-01
525             	sphere1	2.96084445e-02	8.93116369e-02	7.64057466e-02
600             	wall1	2.47750972e-01	3.47980695e-01	3.17872324e-01
600             	sphere1	2.87234372e-02	8.67496557e-02	7.42172046e-02
675             	wall1	2.40022532e-01	3.46212531e-01	3.13579302e-01
675             	sphere1	2.79889843e-02	8.46462142e-02	7.24239674e-02
750             	wall1	2.32682814e-01	3.44562241e-01	3.09428377e-01
750             	sphere1	2.73670352e-02	8.28824234e-02	7.09219217e-02
825             	wall1	2.25711034e-01	3.43020698e-01	3.05414596e-01
825             	sphere1	2.68285673e-02	8.13675644e-02	6.96334574e-02
900             	wall1	2.18945064e-01	3.41579436e-01	3.01533187e-01
900             	sphere1	2.63562126e-02	8.00465604e-02	6.85107360e-02
975             	wall1	2.12522484e-01	3.40442214e-01	2.97779544e-01
975             	sphere1	2.59369932e-02	7.88801026e-02	6.75202748e-02
1050            	wall1	2.06424823e-01	3.39621571e-01	2.94149210e-01
1050            	sphere1	2.55618883e-02	7.78393981e-02	6.66368773e-02
