# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.960000e-03
# lRef        : 1.000000e+00
# Aref        : 7.850000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
5             	2.532519e+00	1.266259e+00	1.266260e+00	6.586208e-03	3.296852e-03	3.289356e-03	3.748169e-06	-6.435154e-07	-3.057076e-06	2.449497e-03	1.221691e-03	1.227805e-03
10            	2.216767e+00	1.108383e+00	1.108384e+00	-6.942905e-05	-3.045891e-05	-3.897013e-05	4.255609e-06	-4.151962e-07	-4.513681e-06	-4.322169e-04	-2.206221e-04	-2.115948e-04
15            	2.099797e+00	1.049898e+00	1.049899e+00	-1.813464e-04	-8.585328e-05	-9.549311e-05	4.819917e-06	-3.332142e-07	-5.530565e-06	-2.824279e-04	-1.467445e-04	-1.356834e-04
20            	2.002584e+00	1.001292e+00	1.001292e+00	-7.178642e-05	-3.068453e-05	-4.110189e-05	5.208681e-06	-2.837337e-07	-6.173589e-06	-1.936334e-04	-1.029903e-04	-9.064311e-05
25            	1.915768e+00	9.578839e-01	9.578843e-01	-2.333704e-05	-6.127588e-06	-1.720945e-05	5.540931e-06	-2.247892e-07	-6.660910e-06	-1.335713e-04	-7.344657e-05	-6.012475e-05
30            	1.837020e+00	9.185098e-01	9.185101e-01	2.924720e-05	2.044967e-05	8.797529e-06	5.826069e-06	-1.783038e-07	-6.964757e-06	-1.150844e-04	-6.450696e-05	-5.057744e-05
35            	1.765213e+00	8.826063e-01	8.826066e-01	4.867404e-05	3.041755e-05	1.825649e-05	6.080532e-06	-1.383624e-07	-7.195552e-06	-8.972952e-05	-5.206031e-05	-3.766921e-05
40            	1.699864e+00	8.499320e-01	8.499322e-01	3.917531e-05	2.589288e-05	1.328242e-05	6.305231e-06	-1.186806e-07	-7.363589e-06	-7.738252e-05	-4.605485e-05	-3.132767e-05
45            	1.640628e+00	8.203141e-01	8.203143e-01	3.136530e-05	2.213997e-05	9.225336e-06	6.457315e-06	-9.679660e-08	-7.440617e-06	-6.431426e-05	-3.959774e-05	-2.471651e-05
50            	1.586629e+00	7.933143e-01	7.933145e-01	2.138686e-05	1.719268e-05	4.194181e-06	6.499248e-06	-8.303630e-08	-7.452042e-06	-4.954063e-05	-3.222236e-05	-1.731827e-05
55            	1.537509e+00	7.687543e-01	7.687545e-01	1.543256e-05	1.419732e-05	1.235243e-06	6.481038e-06	-6.989994e-08	-7.394985e-06	-3.157798e-05	-2.318397e-05	-8.394005e-06
60            	1.493008e+00	7.465037e-01	7.465038e-01	-7.430124e-06	2.735114e-06	-1.016524e-05	6.450176e-06	-5.558266e-08	-7.308725e-06	-3.274484e-05	-2.368114e-05	-9.063694e-06
65            	1.452515e+00	7.262573e-01	7.262573e-01	-5.248085e-06	3.904806e-06	-9.152891e-06	6.528849e-06	-5.045344e-09	-7.269892e-06	-4.072205e-05	-2.763092e-05	-1.309113e-05
70            	1.415785e+00	7.078927e-01	7.078928e-01	-2.382570e-05	-5.353920e-06	-1.847177e-05	6.558927e-06	-3.134116e-08	-7.186467e-06	-5.234069e-05	-3.335681e-05	-1.898388e-05
75            	1.382286e+00	6.911429e-01	6.911430e-01	4.542354e-05	2.926212e-05	1.616142e-05	6.550348e-06	-2.869459e-08	-7.061652e-06	-3.398165e-05	-2.405248e-05	-9.929175e-06
80            	1.352017e+00	6.760086e-01	6.760086e-01	8.542885e-06	1.070946e-05	-2.166576e-06	6.438019e-06	-2.274256e-08	-6.930436e-06	-1.553871e-05	-1.469979e-05	-8.389204e-07
85            	1.324240e+00	6.621201e-01	6.621201e-01	5.662117e-05	3.460396e-05	2.201720e-05	6.293379e-06	-3.238778e-08	-6.766469e-06	-2.700361e-05	-2.026827e-05	-6.735334e-06
90            	1.298964e+00	6.494820e-01	6.494820e-01	3.180667e-05	2.200689e-05	9.799782e-06	6.103552e-06	-3.328723e-08	-6.598951e-06	-1.041440e-05	-1.180615e-05	1.391749e-06
95            	1.276056e+00	6.380282e-01	6.380282e-01	5.013606e-05	3.098100e-05	1.915506e-05	5.912973e-06	-3.135790e-08	-6.392701e-06	-6.184448e-06	-9.484925e-06	3.300477e-06
100           	1.254936e+00	6.274682e-01	6.274682e-01	3.798846e-05	2.467948e-05	1.330898e-05	5.685254e-06	-3.283440e-08	-6.201213e-06	-3.565043e-05	-2.402643e-05	-1.162400e-05
105           	1.235643e+00	6.178214e-01	6.178215e-01	3.211244e-05	2.143860e-05	1.067385e-05	5.382376e-06	-3.426035e-08	-5.933756e-06	-3.544810e-05	-2.365780e-05	-1.179029e-05
110           	1.217985e+00	6.089926e-01	6.089927e-01	1.022739e-05	1.016792e-05	5.947101e-08	5.054224e-06	-3.822309e-08	-5.648884e-06	-6.146292e-05	-3.638035e-05	-2.508258e-05
115           	1.201995e+00	6.009974e-01	6.009974e-01	1.488432e-05	1.205134e-05	2.832977e-06	4.609183e-06	-3.422787e-08	-5.353407e-06	-5.712062e-05	-3.391371e-05	-2.320690e-05
120           	1.187118e+00	5.935588e-01	5.935589e-01	2.590795e-05	1.724180e-05	8.666144e-06	4.287830e-06	-4.261693e-08	-5.150978e-06	-4.201347e-05	-2.615771e-05	-1.585576e-05
125           	1.173592e+00	5.867959e-01	5.867960e-01	8.123029e-07	4.267219e-06	-3.454916e-06	3.861067e-06	-4.655916e-08	-4.872533e-06	-5.195576e-05	-3.085042e-05	-2.110535e-05
130           	1.161112e+00	5.805561e-01	5.805562e-01	-2.150562e-05	-7.351626e-06	-1.415399e-05	3.401182e-06	-4.494699e-08	-4.585045e-06	-5.599896e-05	-3.258453e-05	-2.341443e-05
135           	1.149499e+00	5.747495e-01	5.747496e-01	-2.242546e-05	-8.291959e-06	-1.413350e-05	2.920771e-06	-4.758037e-08	-4.310736e-06	-6.911459e-05	-3.886803e-05	-3.024656e-05
140           	1.138748e+00	5.693741e-01	5.693742e-01	-5.758813e-05	-2.635041e-05	-3.123772e-05	2.443655e-06	-4.013641e-08	-4.037526e-06	-8.120113e-05	-4.463809e-05	-3.656304e-05
145           	1.128759e+00	5.643792e-01	5.643793e-01	-7.498073e-05	-3.555403e-05	-3.942670e-05	1.936336e-06	-7.240169e-08	-3.748593e-06	-1.104996e-04	-5.899839e-05	-5.150121e-05
150           	1.119440e+00	5.597201e-01	5.597202e-01	-6.927663e-05	-3.323675e-05	-3.603988e-05	1.401564e-06	-7.660454e-08	-3.438136e-06	-1.144814e-04	-6.067884e-05	-5.380256e-05
155           	1.110676e+00	5.553380e-01	5.553382e-01	-1.760225e-05	-7.968098e-06	-9.634152e-06	8.330269e-07	-8.953695e-08	-3.109968e-06	-8.631691e-05	-4.626842e-05	-4.004849e-05
160           	1.102721e+00	5.513606e-01	5.513607e-01	5.056830e-05	2.556861e-05	2.499969e-05	2.844574e-07	-9.293043e-08	-2.804252e-06	-3.110540e-05	-1.835695e-05	-1.274845e-05
165           	1.095163e+00	5.475816e-01	5.475818e-01	-3.706723e-06	-2.105748e-06	-1.600975e-06	-2.523868e-07	-9.787420e-08	-2.526351e-06	-8.315224e-05	-4.410247e-05	-3.904977e-05
170           	1.088668e+00	5.443337e-01	5.443339e-01	-3.586014e-05	-1.871404e-05	-1.714610e-05	-7.839701e-07	-1.045226e-07	-2.232479e-06	-1.242932e-04	-6.437909e-05	-5.991413e-05
175           	1.082852e+00	5.414260e-01	5.414263e-01	-1.249238e-04	-6.379306e-05	-6.113075e-05	-1.331152e-06	-1.053577e-07	-1.952748e-06	-1.431720e-04	-7.353874e-05	-6.963325e-05
180           	1.077099e+00	5.385496e-01	5.385498e-01	-1.104673e-04	-5.702156e-05	-5.344578e-05	-1.787890e-06	-1.075591e-07	-1.677319e-06	-1.774705e-04	-9.041257e-05	-8.705794e-05
185           	1.071833e+00	5.359163e-01	5.359165e-01	-9.064222e-05	-4.759431e-05	-4.304791e-05	-2.273201e-06	-1.011393e-07	-1.467244e-06	-1.116980e-04	-5.731623e-05	-5.438175e-05
190           	1.067023e+00	5.335115e-01	5.335117e-01	-1.202485e-04	-6.284261e-05	-5.740588e-05	-2.718369e-06	-9.826922e-08	-1.162668e-06	-1.573450e-04	-7.983515e-05	-7.750982e-05
195           	1.062599e+00	5.312994e-01	5.312996e-01	-1.270329e-04	-6.659178e-05	-6.044114e-05	-3.075324e-06	-9.696389e-08	-9.947155e-07	-1.541930e-04	-7.809121e-05	-7.610178e-05
200           	1.058286e+00	5.291430e-01	5.291432e-01	-1.754077e-04	-9.118921e-05	-8.421851e-05	-3.485346e-06	-1.006359e-07	-7.750832e-07	-1.735849e-04	-8.756755e-05	-8.601738e-05
205           	1.054334e+00	5.271671e-01	5.271673e-01	-1.424407e-04	-7.506338e-05	-6.737727e-05	-3.843055e-06	-9.619600e-08	-5.662773e-07	-1.575502e-04	-7.934137e-05	-7.820882e-05
210           	1.050700e+00	5.253497e-01	5.253499e-01	-1.420687e-04	-7.524169e-05	-6.682704e-05	-4.207326e-06	-8.472035e-08	-3.796066e-07	-1.513292e-04	-7.604421e-05	-7.528499e-05
215           	1.047462e+00	5.237309e-01	5.237311e-01	-1.212539e-04	-6.499262e-05	-5.626132e-05	-4.365649e-06	-8.045744e-08	-2.077133e-07	-1.830123e-04	-9.171388e-05	-9.129846e-05
220           	1.044538e+00	5.222687e-01	5.222688e-01	-1.904191e-04	-9.979416e-05	-9.062496e-05	-4.584603e-06	-7.471143e-08	-1.909834e-07	-1.698597e-04	-8.512086e-05	-8.473889e-05
225           	1.041974e+00	5.209872e-01	5.209873e-01	-1.304034e-04	-6.994680e-05	-6.045660e-05	-4.745103e-06	-6.669898e-08	-4.017123e-08	-1.621575e-04	-8.111891e-05	-8.103857e-05
230           	1.038856e+00	5.194279e-01	5.194280e-01	-1.709814e-04	-9.033219e-05	-8.064922e-05	-4.841485e-06	-5.722664e-08	1.770776e-08	-1.745780e-04	-8.727131e-05	-8.730672e-05
235           	1.036245e+00	5.181225e-01	5.181226e-01	-1.601646e-04	-8.496128e-05	-7.520328e-05	-4.879001e-06	-4.928061e-08	5.794097e-08	-1.806121e-04	-9.024810e-05	-9.036399e-05
240           	1.033733e+00	5.168665e-01	5.168666e-01	-1.702183e-04	-8.998788e-05	-8.023045e-05	-4.878715e-06	-4.968544e-08	7.706684e-08	-1.854924e-04	-9.266916e-05	-9.282329e-05
245           	1.031561e+00	5.157807e-01	5.157808e-01	-1.266578e-04	-6.816200e-05	-5.849576e-05	-4.833115e-06	-4.730248e-08	8.254917e-08	-1.516285e-04	-7.573171e-05	-7.589680e-05
250           	1.029515e+00	5.147574e-01	5.147575e-01	-1.379002e-04	-7.370528e-05	-6.419491e-05	-4.755182e-06	-4.004011e-08	6.846979e-08	-1.578905e-04	-7.887677e-05	-7.901371e-05
255           	1.027410e+00	5.137049e-01	5.137049e-01	-1.307022e-04	-6.998118e-05	-6.072102e-05	-4.630081e-06	-3.202895e-08	2.536987e-08	-1.447207e-04	-7.233500e-05	-7.238574e-05
260           	1.025691e+00	5.128453e-01	5.128454e-01	-1.521777e-04	-8.055238e-05	-7.162528e-05	-4.463549e-06	-2.534627e-08	-4.571954e-08	-1.394475e-04	-6.976949e-05	-6.967805e-05
265           	1.023979e+00	5.119897e-01	5.119897e-01	-1.790247e-04	-9.379180e-05	-8.523288e-05	-4.279459e-06	-1.953483e-08	-1.191405e-07	-1.760010e-04	-8.811963e-05	-8.788135e-05
270           	1.022403e+00	5.112016e-01	5.112016e-01	-1.721881e-04	-9.015122e-05	-8.203689e-05	-4.057161e-06	-1.005703e-08	-2.170598e-07	-1.580986e-04	-7.926638e-05	-7.883226e-05
