# y+ ()         
# Time          	patch           	min             	max             	average         
50              	wall1	4.39756124e+00	5.35094281e+00	5.00848548e+00
50              	sphere1	5.45559008e-01	2.10524932e+00	1.75931276e+00
100             	wall1	4.32247631e+00	5.32457494e+00	4.95635950e+00
100             	sphere1	2.69816997e-01	1.90721330e+00	1.49935538e+00
150             	wall1	4.24983844e+00	5.31506711e+00	4.90599576e+00
150             	sphere1	1.71151154e-01	1.83304192e+00	1.33540473e+00
200             	wall1	4.17932157e+00	5.31156039e+00	4.85720745e+00
200             	sphere1	1.23036778e-01	1.79797142e+00	1.25439614e+00
250             	wall1	4.08579247e+00	5.31020121e+00	4.80988820e+00
250             	sphere1	1.40951839e-01	1.78275936e+00	1.21784852e+00
300             	wall1	3.99049903e+00	5.30956363e+00	4.76396596e+00
300             	sphere1	2.71335697e-01	1.77127536e+00	1.20365409e+00
350             	wall1	3.89764464e+00	5.30922788e+00	4.71938120e+00
350             	sphere1	3.84645994e-01	1.76241969e+00	1.19126242e+00
400             	wall1	3.80863456e+00	5.30901350e+00	4.67608743e+00
400             	sphere1	3.05588439e-01	1.75574473e+00	1.17890288e+00
450             	wall1	3.72324141e+00	5.30886011e+00	4.63404144e+00
450             	sphere1	2.39988945e-01	1.75048402e+00	1.16706437e+00
500             	wall1	3.64085548e+00	5.30874645e+00	4.59320273e+00
500             	sphere1	1.99831679e-01	1.74619093e+00	1.15647186e+00
550             	wall1	3.55880820e+00	5.30866317e+00	4.55353093e+00
550             	sphere1	1.84138291e-01	1.74252092e+00	1.14775348e+00
600             	wall1	3.47992641e+00	5.30860120e+00	4.51498625e+00
600             	sphere1	1.80032359e-01	1.73945118e+00	1.14107319e+00
650             	wall1	3.40408334e+00	5.30855415e+00	4.47753145e+00
650             	sphere1	1.86078598e-01	1.73684501e+00	1.13594903e+00
700             	wall1	3.33115431e+00	5.30851831e+00	4.44112972e+00
700             	sphere1	1.97679675e-01	1.73450794e+00	1.13166076e+00
750             	wall1	3.26102607e+00	5.30849068e+00	4.40574483e+00
750             	sphere1	2.14284633e-01	1.73229684e+00	1.12778521e+00
800             	wall1	3.19359143e+00	5.30846900e+00	4.37134228e+00
800             	sphere1	2.30350456e-01	1.73013925e+00	1.12415046e+00
850             	wall1	3.12885449e+00	5.30845169e+00	4.33788880e+00
850             	sphere1	2.44479396e-01	1.72804357e+00	1.12065971e+00
900             	wall1	3.06674291e+00	5.30843753e+00	4.30535170e+00
900             	sphere1	2.56535323e-01	1.72605727e+00	1.11729417e+00
950             	wall1	3.00706400e+00	5.30842568e+00	4.27369999e+00
950             	sphere1	2.66797724e-01	1.72424419e+00	1.11402993e+00
1000            	wall1	2.94967825e+00	5.30841555e+00	4.24290441e+00
1000            	sphere1	2.75637768e-01	1.72264433e+00	1.11092095e+00
1050            	wall1	2.89447735e+00	5.30840674e+00	4.21293602e+00
1050            	sphere1	2.83379736e-01	1.72126815e+00	1.10797920e+00
1100            	wall1	2.84135149e+00	5.30839897e+00	4.18376727e+00
1100            	sphere1	2.90438831e-01	1.72009262e+00	1.10524108e+00
1150            	wall1	2.79022919e+00	5.30839210e+00	4.15537189e+00
